Algorithm,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Reduction Method,Fuzzy Partition Coefficient (FPC),BIC,AIC,Eps,Min Samples,Clusters Found,Noise Points,Explained Variance,FPC
KMEANS,0.4305896418694513,0.9114126502778954,99.8087178290954,Original,,,,,,,,,
FUZZY_CMEANS,0.3887919160150965,1.0230291680279304,98.08440519915024,Original,0.7104254216099576,,,,,,,,
GMM,0.4401756520172821,0.8782464148141654,104.9154734063138,Original,,-1116.9083119786114,-1681.265192026044,,,,,,
DBSCAN,0.4837903852414412,1.9327158665818556,45.7180620123333,Original,,,,1.4,4.0,2.0,19.0,,
KMEANS,0.5472195610756513,0.6571287746910524,171.20738043975462,PCA_2,,,,,,,,,
FUZZY_CMEANS,0.5197637290871469,0.7228508907300255,166.8715541618121,PCA_2,0.8061898625092736,,,,,,,,
GMM,0.5472195610756513,0.6571287746910524,171.20738043975462,PCA_2,,1229.132305115262,1194.8343731786777,,,,,,
DBSCAN,-1.0,1.336460888934499,21.397668790286048,PCA_2,,,,1.4,3.0,1.0,4.0,,
KMEANS,0.50556107512321,0.7528221456466779,137.65619184147522,PCA_3,,,,,,,,0.8536213527240326,
FUZZY_CMEANS,0.5159050425203597,0.7429836587887166,145.11750309916462,PCA_3,,,,,,,,0.8536213527240326,0.7680008543094518
GMM,0.5328210771276926,0.7144037268500966,152.76266552144853,PCA_3,,,,,,,,0.8536213527240326,
DBSCAN,0.25738491863559,1.1616291932399312,38.96711183763113,PCA_3,,,,,,,,0.8536213527240326,
KMEANS,0.4662860931315902,0.8420327553645026,113.8362357712141,PCA_4,,,,,,,,0.9553802493143346,
FUZZY_CMEANS,0.4579087485131137,0.8743089575256159,116.9589559875464,PCA_4,,,,,,,,0.9553802493143346,0.7296887534459712
GMM,0.4909826602555637,0.8011084733342808,125.55879240008832,PCA_4,,,,,,,,0.9553802493143346,
DBSCAN,0.0157563192144312,1.0590897445512966,14.05401890882121,PCA_4,,,,,,,,0.9553802493143346,
KMEANS,0.4558821183209527,0.8591273207607556,109.8470753744828,PCA_5,,,,,,,,0.9766123869567512,
FUZZY_CMEANS,0.4411003130380727,0.9048662674959116,112.0046490436757,PCA_5,,,,,,,,0.9766123869567512,0.7199455735598077
GMM,0.4798887999999752,0.8180454760085056,120.94024218740113,PCA_5,,,,,,,,0.9766123869567512,
DBSCAN,-0.1522110869050129,1.1792023782871457,7.311812096124417,PCA_5,,,,,,,,0.9766123869567512,
